page_id,tags
441,"1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 2 3 3 3 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 3 2 1 1 1 2 1 1 1 1 2 2 1 3 2 3 2 3 3 3 1 1"
684,198
685,86
686,59
687,85
688,63
689,417
690,0
691,396
692,827
693,362
694,404
695,44
696,919
697,958
698,130
699,491
701,149
702,910
703,226
706,383
707,88
708,243
709,268
710,103
712,103
713,144
714,437
715,179
716,1105
717,291
718,151
719,709
720,566
721,172
722,343
723,373
724,102
725,233
726,39
727,246
728,788
729,322
730,122
731,624
732,314
733,192
734,151
735,323
736,154
737,227
738,76
739,19
740,315
741,34
742,37
743,88
744,92
745,229
746,797
747,84
748,296
749,33
750,316
751,104
752,79
753,245
754,293
755,102
756,134
757,41
758,121
760,152
762,592
763,75
764,771
765,20
766,103
767,10
768,46
769,19
770,313
771,349
772,54
773,86
774,565
775,482
777,316
778,300
779,221
780,130
781,17
782,69
783,20
784,156
785,88
786,92
787,339
788,349
789,81
790,199
791,166
792,59
793,173
794,59
795,331
796,104
797,416
798,340
799,171
800,150
801,100
802,52
803,84
804,41
805,228
806,32
807,260
808,134
809,232
810,306
811,274
812,100
814,131
815,355
816,39
817,15
819,24
820,201
821,23
822,433
823,1678
824,142
825,111
826,78
827,101
828,231
829,40
830,123
831,445
832,341
833,112
834,108
835,64
836,147
837,87
838,413
839,25
840,64
841,131
842,63
843,101
844,97
845,342
846,72
847,120
848,109
849,59
850,32
852,187
853,203
854,121
855,222
856,107
857,124
858,130
859,48
860,101
861,300
862,194
863,76
865,93
866,330
867,85
868,190
869,128
870,0
871,95
872,106
873,107
874,596
875,368
876,68
877,181
878,28
879,48
880,44
881,136
882,46
883,243
884,86
885,393
887,37
888,41
889,33
890,56
891,300
892,112
893,31
894,121
895,120
896,202
898,1191
899,32
900,81
901,219
902,240
903,320
904,172
905,475
906,216
907,82
908,386
909,682
910,23
911,108
912,74
913,344
914,245
915,772
916,26
917,99
918,435
919,205
920,13
921,161
922,738
923,49
759,202
