pageid,nodeid,userid,tag
768,18,66,1
768,18,70,1
768,18,72,2
768,18,78,2
768,19,10,3
768,19,26,3
768,19,57,3
768,19,61,3
768,19,66,3
768,19,70,1
768,19,72,3
768,19,78,3
768,20,10,3
768,20,26,3
768,20,57,3
768,20,61,3
768,20,66,3
768,20,70,1
768,20,72,3
768,20,78,3
768,21,10,3
768,21,26,3
768,21,57,3
768,21,61,3
768,21,66,3
768,21,70,1
768,21,72,3
768,21,78,3
768,22,10,3
768,22,26,3
768,22,57,3
768,22,61,3
768,22,66,3
768,22,70,1
768,22,72,3
768,22,78,3
768,23,10,3
768,23,26,2
768,23,57,1
768,23,61,2
768,23,66,1
768,23,70,1
768,23,72,2
768,23,78,2
768,24,10,3
768,24,26,3
768,24,57,3
768,24,61,3
768,24,66,3
768,24,70,3
768,24,72,3
768,24,78,3
768,25,10,3
768,25,26,3
768,25,57,3
768,25,61,3
768,25,66,2
768,25,70,3
768,25,72,3
768,25,78,3
768,26,10,3
768,26,26,3
768,26,57,3
768,26,61,2
768,26,66,1
768,26,70,3
768,26,72,3
768,26,78,3
768,27,10,3
768,27,26,3
768,27,57,3
768,27,61,2
768,27,66,3
768,27,70,3
768,27,72,3
768,27,78,3
768,28,10,3
768,28,26,3
768,28,57,3
768,28,61,2
768,28,66,3
768,28,70,3
768,28,72,3
768,28,78,3
768,29,10,3
768,29,26,3
768,29,57,1
768,29,61,3
768,29,66,3
768,29,70,3
768,29,72,3
768,29,78,3
768,30,10,3
768,30,26,3
768,30,57,1
768,30,61,3
768,30,66,3
768,30,70,3
768,30,72,3
768,30,78,3
768,31,10,3
768,31,26,3
768,31,57,1
768,31,61,3
768,31,66,3
768,31,70,3
768,31,72,2
768,31,78,3
768,32,10,3
768,32,26,1
768,32,57,1
768,32,61,3
768,32,66,3
768,32,70,3
768,32,72,2
768,32,78,3
768,33,10,3
768,33,26,1
768,33,57,3
768,33,61,3
768,33,66,3
768,33,70,1
768,33,72,1
768,33,78,2
768,34,10,3
768,34,26,1
768,34,57,3
768,34,61,3
768,34,66,2
768,34,70,1
768,34,72,1
768,34,78,3
768,35,10,3
768,35,26,1
768,35,57,3
768,35,61,3
768,35,66,2
768,35,70,1
768,35,72,1
768,35,78,3
768,36,10,3
768,36,26,1
768,36,57,3
768,36,61,3
768,36,66,2
768,36,70,1
768,36,72,1
768,36,78,3
768,37,10,3
768,37,26,1
768,37,57,3
768,37,61,3
768,37,66,2
768,37,70,1
768,37,72,1
768,37,78,3
768,38,10,3
768,38,26,1
768,38,57,3
768,38,61,3
768,38,66,2
768,38,70,1
768,38,72,1
768,38,78,3
768,39,10,3
768,39,26,1
768,39,57,3
768,39,61,3
768,39,66,2
768,39,70,1
768,39,72,1
768,39,78,3
768,40,10,3
768,40,26,1
768,40,57,1
768,40,61,1
768,40,66,1
768,40,70,1
768,40,72,1
768,40,78,1
768,41,10,3
768,41,26,1
768,41,57,1
768,41,61,1
768,41,66,1
768,41,70,1
768,41,72,1
768,41,78,1
768,42,10,1
768,42,26,1
768,42,57,1
768,42,61,1
768,42,66,1
768,42,70,3
768,42,72,1
768,42,78,1
768,43,10,1
768,43,26,1
768,43,57,1
768,43,61,1
768,43,66,1
768,43,70,3
768,43,72,1
768,43,78,1
768,44,10,1
768,44,26,1
768,44,57,1
768,44,61,1
768,44,66,1
768,44,70,3
768,44,72,1
768,44,78,1
768,45,10,1
768,45,26,1
768,45,57,1
768,45,61,1
768,45,66,1
768,45,70,3
768,45,72,1
768,45,78,1
768,46,10,1
768,46,26,1
768,46,57,1
768,46,61,1
768,46,66,1
768,46,70,3
768,46,72,1
768,46,78,1
769,1,10,2
769,1,11,2
769,1,19,2
769,1,32,2
769,1,39,2
769,1,53,2
769,1,58,2
769,2,10,1
769,2,11,2
769,2,19,1
769,2,32,1
769,2,39,2
769,2,53,1
769,2,58,1
769,3,10,2
769,3,11,2
769,3,19,2
769,3,32,2
769,3,39,2
769,3,53,1
769,3,58,2
769,4,10,3
769,4,11,2
769,4,19,1
769,4,32,3
769,4,39,3
769,4,53,3
769,4,58,3
769,5,10,3
769,5,11,3
769,5,19,3
769,5,32,3
769,5,39,3
769,5,53,3
769,5,58,3
769,6,10,3
769,6,11,3
769,6,19,3
769,6,32,3
769,6,39,3
769,6,53,3
769,6,58,3
769,7,10,3
769,7,11,3
769,7,19,3
769,7,32,3
769,7,39,3
769,7,53,3
769,7,58,3
769,8,10,3
769,8,11,3
769,8,19,3
769,8,32,3
769,8,39,3
769,8,53,3
769,8,58,3
769,9,10,3
769,9,11,3
769,9,19,3
769,9,32,3
769,9,39,3
769,9,53,3
769,9,58,3
769,10,10,3
769,10,11,3
769,10,19,3
769,10,32,3
769,10,39,3
769,10,53,3
769,10,58,3
769,11,10,3
769,11,11,3
769,11,19,3
769,11,32,3
769,11,39,3
769,11,53,3
769,11,58,3
769,12,10,3
769,12,11,3
769,12,19,3
769,12,32,3
769,12,39,3
769,12,53,3
769,12,58,3
769,13,10,3
769,13,11,3
769,13,19,3
769,13,32,3
769,13,39,3
769,13,53,3
769,13,58,3
769,14,10,3
769,14,11,3
769,14,19,3
769,14,32,3
769,14,39,3
769,14,53,3
769,14,58,3
769,15,10,3
769,15,11,3
769,15,19,3
769,15,32,3
769,15,39,3
769,15,53,3
769,15,58,3
769,16,10,3
769,16,11,3
769,16,19,3
769,16,32,3
769,16,39,3
769,16,53,3
769,16,58,3
769,17,10,3
769,17,11,3
769,17,19,3
769,17,32,3
769,17,39,3
769,17,53,3
769,17,58,3
769,18,10,3
769,18,11,3
769,18,19,3
769,18,32,3
769,18,39,3
769,18,53,3
769,18,58,3
769,19,10,3
769,19,11,3
769,19,19,3
769,19,32,3
769,19,39,3
769,19,53,3
769,19,58,3
762,1,10,2
762,1,24,2
762,1,33,2
762,1,44,2
762,1,46,2
762,1,48,2
762,1,66,2
762,2,10,2
762,2,24,2
762,2,33,2
762,2,44,2
762,2,46,2
762,2,48,2
762,2,66,2
762,3,10,1
762,3,24,1
762,3,33,1
762,3,44,1
762,3,46,1
762,3,48,1
762,3,66,1
762,4,10,1
762,4,24,1
762,4,33,1
762,4,44,1
762,4,46,1
762,4,48,1
762,4,66,1
762,5,10,1
762,5,24,1
762,5,33,1
762,5,44,1
762,5,46,1
762,5,48,1
762,5,66,1
762,6,10,1
762,6,24,1
762,6,33,1
762,6,44,1
762,6,46,1
762,6,48,1
762,6,66,1
762,7,10,1
762,7,24,1
762,7,33,1
762,7,44,1
762,7,46,1
762,7,48,1
762,7,66,1
762,8,10,1
762,8,24,1
762,8,33,1
762,8,44,1
762,8,46,1
762,8,48,1
762,8,66,1
762,9,10,1
762,9,24,1
762,9,33,1
762,9,44,1
762,9,46,1
762,9,48,1
762,9,66,1
762,10,10,1
762,10,24,1
762,10,33,1
762,10,44,1
762,10,46,1
762,10,48,1
762,10,66,1
762,11,10,1
762,11,24,1
762,11,33,1
762,11,44,1
762,11,46,1
762,11,48,1
762,11,66,1
762,12,10,1
762,12,24,1
762,12,33,1
762,12,44,1
762,12,46,1
762,12,48,1
762,12,66,1
762,13,10,1
762,13,24,1
762,13,33,1
762,13,44,1
762,13,46,1
762,13,48,1
762,13,66,1
762,14,10,1
762,14,24,1
762,14,33,1
762,14,44,1
762,14,46,1
762,14,48,1
762,14,66,1
762,15,10,1
762,15,24,1
762,15,33,1
762,15,44,1
762,15,46,1
762,15,48,1
762,15,66,1
762,16,10,1
762,16,24,1
762,16,33,1
762,16,44,1
762,16,46,1
762,16,48,1
762,16,66,1
762,17,10,1
762,17,24,1
762,17,33,1
762,17,44,1
762,17,46,1
762,17,48,1
762,17,66,1
762,18,10,1
762,18,24,1
762,18,33,1
762,18,44,1
762,18,46,1
762,18,48,1
762,18,66,1
762,19,10,1
762,19,24,1
762,19,33,1
762,19,44,1
762,19,46,1
762,19,48,1
762,19,66,1
762,20,10,1
762,20,24,1
762,20,33,1
762,20,44,1
762,20,46,1
762,20,48,1
762,20,66,1
762,21,10,2
762,21,24,2
762,21,33,1
762,21,44,1
762,21,46,1
762,21,48,1
762,21,66,2
762,22,10,2
762,22,24,2
762,22,33,1
762,22,44,1
762,22,46,1
762,22,48,1
762,22,66,2
762,23,10,2
762,23,24,2
762,23,33,1
762,23,44,1
762,23,46,1
762,23,48,1
762,23,66,2
762,24,10,2
762,24,24,2
762,24,33,1
762,24,44,1
762,24,46,1
762,24,48,1
762,24,66,2
762,25,10,2
762,25,24,2
762,25,33,1
762,25,44,1
762,25,46,1
762,25,48,1
762,25,66,2
762,26,10,2
762,26,24,2
762,26,33,1
762,26,44,1
762,26,46,1
762,26,48,1
762,26,66,2
762,27,10,2
762,27,24,2
762,27,33,1
762,27,44,1
762,27,46,1
762,27,48,1
762,27,66,2
762,28,10,2
762,28,24,2
762,28,33,1
762,28,44,1
762,28,46,1
762,28,48,1
762,28,66,2
762,29,10,2
762,29,24,2
762,29,33,1
762,29,44,1
762,29,46,1
762,29,48,1
762,29,66,2
762,30,10,2
762,30,24,2
762,30,33,1
762,30,44,1
762,30,46,1
762,30,48,1
762,30,66,2
762,31,10,2
762,31,24,2
762,31,33,1
762,31,44,1
762,31,46,1
762,31,48,1
762,31,66,2
762,32,10,2
762,32,24,2
762,32,33,1
762,32,44,1
762,32,46,1
762,32,48,1
762,32,66,2
762,33,10,2
762,33,24,2
762,33,33,1
762,33,44,1
762,33,46,1
762,33,48,1
762,33,66,2
762,34,10,2
762,34,24,2
762,34,33,1
762,34,44,1
762,34,46,1
762,34,48,1
762,34,66,2
762,35,10,2
762,35,24,2
762,35,33,1
762,35,44,1
762,35,46,1
762,35,48,1
762,35,66,2
762,36,10,2
762,36,24,2
762,36,33,1
762,36,44,1
762,36,46,1
762,36,48,1
762,36,66,2
762,37,10,2
762,37,24,2
762,37,33,1
762,37,44,1
762,37,46,1
762,37,48,1
762,37,66,2
762,38,10,2
762,38,24,2
762,38,33,1
762,38,44,1
762,38,46,1
762,38,48,1
762,38,66,2
762,39,10,2
762,39,24,2
762,39,33,1
762,39,44,1
762,39,46,1
762,39,48,1
762,39,66,2
762,40,10,2
762,40,24,2
762,40,33,1
762,40,44,1
762,40,46,1
762,40,48,1
762,40,66,2
762,41,10,2
762,41,24,2
762,41,33,1
762,41,44,1
762,41,46,1
762,41,48,1
762,41,66,2
762,42,10,2
762,42,24,2
762,42,33,1
762,42,44,1
762,42,46,1
762,42,48,1
762,42,66,2
762,43,10,2
762,43,24,2
762,43,33,1
762,43,44,1
762,43,46,1
762,43,48,1
762,43,66,2
762,44,10,2
762,44,24,2
762,44,33,1
762,44,44,1
762,44,46,1
762,44,48,1
762,44,66,2
762,45,10,2
762,45,24,2
762,45,33,1
762,45,44,1
762,45,46,1
762,45,48,1
762,45,66,2
762,46,10,2
762,46,24,2
762,46,33,1
762,46,44,1
762,46,46,1
762,46,48,1
762,46,66,2
762,47,10,2
762,47,24,2
762,47,33,1
762,47,44,1
762,47,46,1
762,47,48,1
762,47,66,2
762,48,10,2
762,48,24,2
762,48,33,1
762,48,44,1
762,48,46,1
762,48,48,1
762,48,66,2
762,49,10,2
762,49,24,2
762,49,33,1
762,49,44,1
762,49,46,1
762,49,48,1
762,49,66,2
762,50,10,2
762,50,24,2
762,50,33,1
762,50,44,1
762,50,46,1
762,50,48,1
762,50,66,2
762,51,10,2
762,51,24,2
762,51,33,1
762,51,44,1
762,51,46,1
762,51,48,1
762,51,66,2
762,52,10,2
762,52,24,2
762,52,33,1
762,52,44,1
762,52,46,1
762,52,48,1
762,52,66,2
762,53,10,2
762,53,24,2
762,53,33,1
762,53,44,1
762,53,46,1
762,53,48,1
762,53,66,2
762,54,10,2
762,54,24,2
762,54,33,1
762,54,44,1
762,54,46,1
762,54,48,1
762,54,66,2
762,55,10,2
762,55,24,2
762,55,33,1
762,55,44,1
762,55,46,1
762,55,48,1
762,55,66,2
762,56,10,2
762,56,24,2
762,56,33,1
762,56,44,1
762,56,46,1
762,56,48,1
762,56,66,2
762,57,10,2
762,57,24,2
762,57,33,1
762,57,44,1
762,57,46,1
762,57,48,1
762,57,66,2
762,58,10,2
762,58,24,2
762,58,33,1
762,58,44,1
762,58,46,1
762,58,48,1
762,58,66,2
762,59,10,2
762,59,24,2
762,59,33,1
762,59,44,1
762,59,46,1
762,59,48,1
762,59,66,2
762,60,10,2
762,60,24,2
762,60,33,1
762,60,44,1
762,60,46,1
762,60,48,1
762,60,66,2
762,61,10,2
762,61,24,2
762,61,33,1
762,61,44,1
762,61,46,1
762,61,48,1
762,61,66,2
762,62,10,2
762,62,24,2
762,62,33,1
762,62,44,1
762,62,46,1
762,62,48,1
762,62,66,2
762,63,10,2
762,63,24,2
762,63,33,1
762,63,44,1
762,63,46,1
762,63,48,1
762,63,66,2
762,64,10,2
762,64,24,2
762,64,33,1
762,64,44,1
762,64,46,1
762,64,48,1
762,64,66,2
762,65,10,2
762,65,24,2
762,65,33,1
762,65,44,1
762,65,46,1
762,65,48,1
762,65,66,2
762,66,10,2
762,66,24,2
762,66,33,1
762,66,44,1
762,66,46,1
762,66,48,1
762,66,66,2
762,67,10,2
762,67,24,2
762,67,33,1
762,67,44,1
762,67,46,1
762,67,48,1
762,67,66,2
762,68,10,2
762,68,24,2
762,68,33,1
762,68,44,1
762,68,46,1
762,68,48,1
762,68,66,2
762,69,10,2
762,69,24,2
762,69,33,1
762,69,44,1
762,69,46,1
762,69,48,1
762,69,66,2
762,70,10,2
762,70,24,2
762,70,33,1
762,70,44,1
762,70,46,1
762,70,48,1
762,70,66,2
762,71,10,2
762,71,24,2
762,71,33,1
762,71,44,1
762,71,46,1
762,71,48,1
762,71,66,2
762,72,10,2
762,72,24,2
762,72,33,1
762,72,44,1
762,72,46,1
762,72,48,1
762,72,66,2
762,73,10,2
762,73,24,2
762,73,33,1
762,73,44,1
762,73,46,1
762,73,48,1
762,73,66,2
762,74,10,2
762,74,24,2
762,74,33,1
762,74,44,1
762,74,46,1
762,74,48,1
762,74,66,2
762,75,10,2
762,75,24,2
762,75,33,1
762,75,44,1
762,75,46,1
762,75,48,1
762,75,66,2
762,76,10,2
762,76,24,2
762,76,33,1
762,76,44,1
762,76,46,1
762,76,48,1
762,76,66,2
762,77,10,2
762,77,24,2
762,77,33,1
762,77,44,1
762,77,46,1
762,77,48,1
762,77,66,2
762,78,10,2
762,78,24,2
762,78,33,1
762,78,44,1
762,78,46,1
762,78,48,1
762,78,66,2
762,79,10,2
762,79,24,2
762,79,33,1
762,79,44,1
762,79,46,1
762,79,48,1
762,79,66,2
762,80,10,2
762,80,24,2
762,80,33,1
762,80,44,1
762,80,46,1
762,80,48,1
762,80,66,2
762,81,10,2
762,81,24,2
762,81,33,1
762,81,44,1
762,81,46,1
762,81,48,1
762,81,66,2
762,82,10,2
762,82,24,2
762,82,33,1
762,82,44,1
762,82,46,1
762,82,48,1
762,82,66,2
762,83,10,2
762,83,24,2
762,83,33,1
762,83,44,1
762,83,46,1
762,83,48,1
762,83,66,2
762,84,10,2
762,84,24,2
762,84,33,1
762,84,44,1
762,84,46,1
762,84,48,1
762,84,66,2
762,85,10,2
762,85,24,2
762,85,33,1
762,85,44,1
762,85,46,1
762,85,48,1
762,85,66,2
762,86,10,2
762,86,24,2
762,86,33,1
762,86,44,1
762,86,46,1
762,86,48,1
762,86,66,2
762,87,10,2
762,87,24,2
762,87,33,1
762,87,44,1
762,87,46,1
762,87,48,1
762,87,66,2
762,88,10,2
762,88,24,2
762,88,33,1
762,88,44,1
762,88,46,1
762,88,48,1
762,88,66,2
762,89,10,2
762,89,24,2
762,89,33,1
762,89,44,1
762,89,46,1
762,89,48,1
762,89,66,2
762,90,10,2
762,90,24,2
762,90,33,1
762,90,44,1
762,90,46,1
762,90,48,1
762,90,66,2
762,91,10,2
762,91,24,2
762,91,33,1
762,91,44,1
762,91,46,1
762,91,48,1
762,91,66,2
762,92,10,2
762,92,24,2
762,92,33,1
762,92,44,1
762,92,46,1
762,92,48,1
762,92,66,2
762,93,10,2
762,93,24,2
762,93,33,1
762,93,44,1
762,93,46,1
762,93,48,1
762,93,66,2
762,94,10,2
762,94,24,2
762,94,33,1
762,94,44,1
762,94,46,1
762,94,48,1
762,94,66,2
762,95,10,2
762,95,24,2
762,95,33,1
762,95,44,1
762,95,46,1
762,95,48,1
762,95,66,2
762,96,10,2
762,96,24,2
762,96,33,1
762,96,44,1
762,96,46,1
762,96,48,1
762,96,66,2
762,97,10,2
762,97,24,2
762,97,33,1
762,97,44,1
762,97,46,1
762,97,48,1
762,97,66,2
762,98,10,2
762,98,24,2
762,98,33,1
762,98,44,1
762,98,46,1
762,98,48,1
762,98,66,2
762,99,10,2
762,99,24,2
762,99,33,1
762,99,44,1
762,99,46,1
762,99,48,1
762,99,66,2
762,100,10,2
762,100,24,2
762,100,33,1
762,100,44,1
762,100,46,1
762,100,48,1
762,100,66,2
762,101,10,2
762,101,24,2
762,101,33,1
762,101,44,1
762,101,46,1
762,101,48,1
762,101,66,2
762,102,10,2
762,102,24,2
762,102,33,1
762,102,44,1
762,102,46,1
762,102,48,1
762,102,66,2
762,103,10,2
762,103,24,2
762,103,33,1
762,103,44,1
762,103,46,1
762,103,48,1
762,103,66,2
762,104,10,2
762,104,24,2
762,104,33,1
762,104,44,1
762,104,46,1
762,104,48,1
762,104,66,2
762,105,10,2
762,105,24,2
762,105,33,1
762,105,44,1
762,105,46,1
762,105,48,1
762,105,66,2
762,106,10,2
762,106,24,2
762,106,33,1
762,106,44,1
762,106,46,1
762,106,48,1
762,106,66,2
762,107,10,2
762,107,24,2
762,107,33,1
762,107,44,1
762,107,46,1
762,107,48,1
762,107,66,2
762,108,10,2
762,108,24,2
762,108,33,1
762,108,44,1
762,108,46,1
762,108,48,1
762,108,66,2
762,109,10,2
762,109,24,2
762,109,33,1
762,109,44,1
762,109,46,1
762,109,48,1
762,109,66,2
762,110,10,2
762,110,24,2
762,110,33,1
762,110,44,1
762,110,46,1
762,110,48,1
762,110,66,2
762,111,10,2
762,111,24,2
762,111,33,1
762,111,44,1
762,111,46,1
762,111,48,1
762,111,66,2
762,112,10,2
762,112,24,2
762,112,33,1
762,112,44,1
762,112,46,1
762,112,48,1
762,112,66,2
762,113,10,2
762,113,24,2
762,113,33,1
762,113,44,1
762,113,46,1
762,113,48,1
762,113,66,2
762,114,10,2
762,114,24,2
762,114,33,1
762,114,44,1
762,114,46,1
762,114,48,1
762,114,66,2
762,115,10,2
762,115,24,2
762,115,33,1
762,115,44,1
762,115,46,1
762,115,48,1
762,115,66,2
762,116,10,2
762,116,24,2
762,116,33,1
762,116,44,1
762,116,46,1
762,116,48,1
762,116,66,2
762,117,10,2
762,117,24,2
762,117,33,1
762,117,44,1
762,117,46,1
762,117,48,1
762,117,66,2
762,118,10,2
762,118,24,2
762,118,33,1
762,118,44,1
762,118,46,1
762,118,48,1
762,118,66,2
762,119,10,2
762,119,24,2
762,119,33,1
762,119,44,1
762,119,46,1
762,119,48,1
762,119,66,2
762,120,10,2
762,120,24,2
762,120,33,1
762,120,44,1
762,120,46,1
762,120,48,1
762,120,66,2
762,121,10,2
762,121,24,2
762,121,33,1
762,121,44,1
762,121,46,1
762,121,48,1
762,121,66,2
762,122,10,2
762,122,24,2
762,122,33,1
762,122,44,1
762,122,46,1
762,122,48,1
762,122,66,2
762,123,10,2
762,123,24,2
762,123,33,1
762,123,44,1
762,123,46,1
762,123,48,1
762,123,66,2
762,124,10,2
762,124,24,2
762,124,33,1
762,124,44,1
762,124,46,1
762,124,48,1
762,124,66,2
762,125,10,2
762,125,24,2
762,125,33,1
762,125,44,1
762,125,46,1
762,125,48,1
762,125,66,2
762,126,10,2
762,126,24,2
762,126,33,1
762,126,44,1
762,126,46,1
762,126,48,1
762,126,66,2
762,127,10,2
762,127,24,2
762,127,33,1
762,127,44,1
762,127,46,1
762,127,48,1
762,127,66,2
762,128,10,2
762,128,24,2
762,128,33,1
762,128,44,1
762,128,46,1
762,128,48,1
762,128,66,2
762,129,10,2
762,129,24,2
762,129,33,1
762,129,44,1
762,129,46,1
762,129,48,1
762,129,66,2
762,130,10,2
762,130,24,2
762,130,33,1
762,130,44,1
762,130,46,1
762,130,48,1
762,130,66,2
762,131,10,2
762,131,24,2
762,131,33,1
762,131,44,1
762,131,46,1
762,131,48,1
762,131,66,2
762,132,10,2
762,132,24,2
762,132,33,1
762,132,44,1
762,132,46,1
762,132,48,1
762,132,66,2
762,133,10,2
762,133,24,2
762,133,33,1
762,133,44,1
762,133,46,1
762,133,48,1
762,133,66,2
762,134,10,2
762,134,24,2
762,134,33,1
762,134,44,1
762,134,46,1
762,134,48,1
762,134,66,2
762,135,10,2
762,135,24,2
762,135,33,1
762,135,44,1
762,135,46,1
762,135,48,1
762,135,66,2
762,136,10,2
762,136,24,2
762,136,33,1
762,136,44,1
762,136,46,1
762,136,48,1
762,136,66,2
762,137,10,2
762,137,24,2
762,137,33,1
762,137,44,1
762,137,46,1
762,137,48,1
762,137,66,2
762,138,10,2
762,138,24,2
762,138,33,1
762,138,44,1
762,138,46,1
762,138,48,1
762,138,66,2
762,139,10,2
762,139,24,2
762,139,33,1
762,139,44,1
762,139,46,1
762,139,48,1
762,139,66,2
762,140,10,2
762,140,24,2
762,140,33,1
762,140,44,1
762,140,46,1
762,140,48,1
762,140,66,2
762,141,10,2
762,141,24,2
762,141,33,1
762,141,44,1
762,141,46,1
762,141,48,1
762,141,66,2
762,142,10,2
762,142,24,2
762,142,33,1
762,142,44,1
762,142,46,1
762,142,48,1
762,142,66,2
762,143,10,2
762,143,24,2
762,143,33,1
762,143,44,1
762,143,46,1
762,143,48,1
762,143,66,2
762,144,10,2
762,144,24,2
762,144,33,1
762,144,44,1
762,144,46,1
762,144,48,1
762,144,66,2
762,145,10,2
762,145,24,2
762,145,33,1
762,145,44,1
762,145,46,1
762,145,48,1
762,145,66,2
762,146,10,2
762,146,24,2
762,146,33,1
762,146,44,1
762,146,46,1
762,146,48,1
762,146,66,2
762,147,10,2
762,147,24,2
762,147,33,1
762,147,44,1
762,147,46,1
762,147,48,1
762,147,66,2
762,148,10,2
762,148,24,2
762,148,33,1
762,148,44,1
762,148,46,1
762,148,48,1
762,148,66,2
762,149,10,2
762,149,24,2
762,149,33,1
762,149,44,1
762,149,46,1
762,149,48,1
762,149,66,2
762,150,10,2
762,150,24,2
762,150,33,1
762,150,44,1
762,150,46,1
762,150,48,1
762,150,66,2
762,151,10,2
762,151,24,2
762,151,33,1
762,151,44,1
762,151,46,1
762,151,48,1
762,151,66,2
762,152,10,2
762,152,24,2
762,152,33,1
762,152,44,1
762,152,46,1
762,152,48,1
762,152,66,2
762,153,10,2
762,153,24,2
762,153,33,1
762,153,44,1
762,153,46,1
762,153,48,1
762,153,66,2
762,154,10,2
762,154,24,2
762,154,33,1
762,154,44,1
762,154,46,1
762,154,48,1
762,154,66,2
762,155,10,2
762,155,24,2
762,155,33,1
762,155,44,1
762,155,46,1
762,155,48,1
762,155,66,2
762,156,10,2
762,156,24,2
762,156,33,1
762,156,44,1
762,156,46,1
762,156,48,1
762,156,66,2
762,157,10,2
762,157,24,2
762,157,33,1
762,157,44,1
762,157,46,1
762,157,48,1
762,157,66,2
762,158,10,2
762,158,24,2
762,158,33,1
762,158,44,1
762,158,46,1
762,158,48,1
762,158,66,2
762,159,10,2
762,159,24,2
762,159,33,1
762,159,44,1
762,159,46,1
762,159,48,1
762,159,66,2
762,160,10,2
762,160,24,2
762,160,33,1
762,160,44,1
762,160,46,1
762,160,48,1
762,160,66,2
762,161,10,2
762,161,24,2
762,161,33,1
762,161,44,1
762,161,46,1
762,161,48,1
762,161,66,2
762,162,10,2
762,162,24,2
762,162,33,1
762,162,44,1
762,162,46,1
762,162,48,1
762,162,66,2
762,163,10,2
762,163,24,2
762,163,33,1
762,163,44,1
762,163,46,1
762,163,48,1
762,163,66,2
762,164,10,2
762,164,24,2
762,164,33,1
762,164,44,1
762,164,46,1
762,164,48,1
762,164,66,2
762,165,10,2
762,165,24,2
762,165,33,1
762,165,44,1
762,165,46,1
762,165,48,1
762,165,66,2
762,166,10,2
762,166,24,2
762,166,33,1
762,166,44,1
762,166,46,1
762,166,48,1
762,166,66,2
762,167,10,2
762,167,24,2
762,167,33,1
762,167,44,1
762,167,46,1
762,167,48,1
762,167,66,2
762,168,10,2
762,168,24,2
762,168,33,1
762,168,44,1
762,168,46,1
762,168,48,1
762,168,66,2
762,169,10,2
762,169,24,2
762,169,33,1
762,169,44,1
762,169,46,1
762,169,48,1
762,169,66,2
762,170,10,2
762,170,24,2
762,170,33,1
762,170,44,1
762,170,46,1
762,170,48,1
762,170,66,2
762,171,10,2
762,171,24,2
762,171,33,1
762,171,44,1
762,171,46,1
762,171,48,1
762,171,66,2
762,172,10,2
762,172,24,2
762,172,33,1
762,172,44,1
762,172,46,1
762,172,48,1
762,172,66,2
762,173,10,2
762,173,24,2
762,173,33,1
762,173,44,1
762,173,46,1
762,173,48,1
762,173,66,2
762,174,10,2
762,174,24,2
762,174,33,1
762,174,44,1
762,174,46,1
762,174,48,1
762,174,66,2
762,175,10,2
762,175,24,2
762,175,33,1
762,175,44,1
762,175,46,1
762,175,48,1
762,175,66,2
762,176,10,2
762,176,24,2
762,176,33,1
762,176,44,1
762,176,46,1
762,176,48,1
762,176,66,2
762,177,10,2
762,177,24,2
762,177,33,1
762,177,44,1
762,177,46,1
762,177,48,1
762,177,66,2
762,178,10,2
762,178,24,2
762,178,33,1
762,178,44,1
762,178,46,1
762,178,48,1
